Time,altitude (ft),Mach,Vt (ft/s),alpha (deg),beta (deg),p (rad/s),q (rad/s),r (rad/s),phi (rad),theta (rad),psi (rad),elevator cmd,elevator (rad),left aileron (rad),right aileron (rad),rudder (rad),flap (rad),weight (lb),engine 0 thrust (lb),engine 1 thrust (lb)
2.8,40000.7782570943236,0.796870839909163076,771.430288639181072,5.43946704926932068,-0.17933346477539075,0.0356976779593680058,0.00144863513104693782,0.0039488826625241856,0.0293937274471088479,0.096330044250092367,1.57844843989360228,0,-0.0408748290345016113,1.00883087500253773e-05,-1.00883087500253773e-05,0.000591812958529817955,0,9973.60534244234259,488.83110893817252,0
2.9,40000.9022455960512,0.796686583130751136,771.25191436240334,5.43789670040644069,-0.171913233683420597,0.0369629219078563484,0.00099019075844294078,0.00417349347569020632,0.0330545172058654205,0.0964473970895864952,1.57885997427162028,0,-0.0408795256186874484,1.00894679130715934e-05,-1.00894679130715934e-05,0.000797774678118786827,0,9973.59111585701248,488.770168762896674,0
3,40001.0385594032705,0.796502154226739423,771.073373455232741,5.43399153542246616,-0.164443185751276533,0.0381081015080012159,0.000561747124516109907,0.00444037437268869975,0.0368391933276731517,0.0965176679276009836,1.57929468367492998,0,-0.040884227620518139,1.00906284132457023e-05,-1.00906284132457023e-05,0.00103854437470795951,0,9973.57689104749807,488.709055606496747,0
3.1,40001.1867044456303,0.796317745193625526,770.894851784570392,5.42805517082751354,-0.157183510480429611,0.0391467135801317825,0.000174739533353818557,0.00474093001484364972,0.0407366268969630158,0.0965439541920817546,1.57975625498651651,0,-0.0408889300581778067,1.00917890209866766e-05,-1.00917890209866766e-05,0.00130018396352161807,0,9973.56266801806305,488.64783516423114,0
3.2,40001.3460415899754,0.796133528297670257,770.716516116979392,5.42043594457574507,-0.150337978876198652,0.0400921617404183458,-0.000161500262103667243,0.00506687356862882063,0.0447369619557855744,0.0965304009802899488,1.58024758927801545,0,-0.0408936284298881264,1.00929486252114686e-05,-1.00929486252114686e-05,0.00157037511117142921,0,9973.5484467711085,488.586568098532439,0
3.3,40001.515810970217,0.795949652171084265,770.538510339503205,5.41151243367847368,-0.144056599678942326,0.0409573052311309679,-0.000439899415710957083,0.00541051125449555637,0.0488315924890619438,0.0964819928427278206,1.58077085592537103,0,-0.0408983188186980984,1.00941062591781518e-05,-1.00941062591781518e-05,0.00183863905040134888,0,9973.53422730734565,488.525308573589598,0
3.4,40001.6951582729816,0.795766238965846862,770.360952704350439,5.40167900189340155,-0.138439947406969799,0.0417541205106198091,-0.000655713302111460457,0.00576494175463298716,0.0530131012762325854,0.096404332258939518,1.58132756719031886,0,-0.0409029979705142765,1.00952611197445409e-05,-1.00952611197445409e-05,0.00209642808291119484,0,9973.52000962599232,488.464103110060364,0
3.5,40001.8831620030105,0.795583382581999454,770.183934113750411,5.39133186507772066,-0.133544638055249576,0.0424934649877801232,-0.000806513085768846907,0.00612418126104736192,0.0572751705424954169,0.0963034129235348091,1.58191866492624245,0,-0.0409076633447414753,1.00964125798668243e-05,-1.00964125798668243e-05,0.00233711405621103794,0,9973.50579372501306,488.402989773947411,0
3.6,40002.0788607671857,0.795401147949908238,770.007517425131027,5.38085610279495086,-0.129389495481689265,0.043184930872971726,-0.000892098304153237666,0.00648322523596628342,0.0616124733394894097,0.0961853956122362963,1.58254461245069611,0,-0.0409123131378735655,1.00975601944220002e-05,-1.00975601944220002e-05,0.0025558971610571495,0,9973.49157960136836,488.341997701765081,0
3.7,40002.2812796458602,0.795219571312523188,769.831737724365325,5.37061397650263572,-0.125962021178302158,0.0438367763502788069,-0.00091434320264670028,0.00683805787639173678,0.0660205534856437848,0.0960563937941979751,1.58320548599113597,0,-0.0409169462812489226,1.00987036996538937e-05,-1.00987036996538937e-05,0.00274965618003818971,0,9973.47736725127106,488.281146953285543,0
3.8,40002.4894549101591,0.795038661424900428,769.656603486999643,5.36093484061994285,-0.123224849557529617,0.0444559210812900465,-0.000876987039650409229,0.0071856198618398268,0.0704957007515774198,0.0959222753415774898,1.58390106141072251,0,-0.040921562414943595,1.00998430067297466e-05,-1.00998430067297466e-05,0.00291675889133805521,0,9973.46315667045747,488.220448672343025,0
3.9,40002.7024563066661,0.794858401564653594,769.48209852451896,5.35210685613392823,-0.121121937667776208,0.0450479933379571082,-0.000785379570723300654,0.00752374427656375949,0.0750348268297226506,0.095788485708606555,1.58463089312177563,0,-0.0409261618404040753,1.01009781900495076e-05,-1.01009781900495076e-05,0.00305684878078831945,0,9973.44894785444194,488.159905529034006,0
4,40002.9194064959884,0.794678752228849317,769.30818459514353,5.34437063995063344,-0.119584300423080242,0.0456174167336367287,-0.000646193443763166497,0.00785106970276758416,0.0796353465160995755,0.0956598968603701444,1.58539438316942993,0,-0.0409307454549122582,1.01021094710711503e-05,-1.01021094710711503e-05,0.00317062163315775126,0,9973.43474079875159,488.099512407544012,0
4.1,40003.1394970528781,0.794499654380256271,769.134804546438772,5.33791490934713586,-0.118535158557161624,0.0461675254795313184,-0.000467115329242127582,0.00816693844952232594,0.0842950674845261427,0.0955406850754725728,1.58619083940041228,0,-0.0409353146713253985,1.01032371985017067e-05,-1.01032371985017067e-05,0.00325960304905443653,0,9973.42053549914272,488.039257301431405,0
4.2,40003.3620008900762,0.794321033098639884,768.961885850041085,5.33287411166935588,-0.117894415698311772,0.0467006982471675353,-0.000256527315239223118,0.00847128677911661472,0.0890120910710521934,0.0954342395732332427,1.58701952241344424,0,-0.0409398713267440373,1.01043618257556043e-05,-1.01043618257556043e-05,0.00332593554373752757,0,9973.40633195179726,487.979122371702488,0
4.3,40003.5862808637321,0.794142801490782202,768.789344386847461,5.3293279665160167,-0.117582422813050591,0.0472185019854701321,-2.31894672072087502e-05,0.00876453287564033304,0.0937847256238152349,0.0953431027670565007,1.58787968161758064,0,-0.0409444175838389671,1.01054838866012158e-05,-1.01054838866012158e-05,0.00337218168879082356,0,9973.39213015346832,487.919085123272055,0
4.4,40003.8117946125567,0.793964864715666518,768.617088343694149,5.32730279235475734,-0.117523022807344737,0.0477218383553127332,0.000224066459090500403,0.00904746721579313337,0.0986114132199141513,0.0952689418578708119,1.58877058120790515,0,-0.0409489558285207819,1.01066039699046755e-05,-1.01066039699046755e-05,0.00340114779810691409,0,9973.37793010160749,487.859119653520111,0
