Time,altitude (ft),Mach,Vt (ft/s),alpha (deg),beta (deg),p (rad/s),q (rad/s),r (rad/s),phi (rad),theta (rad),psi (rad),elevator cmd,elevator (rad),left aileron (rad),right aileron (rad),rudder (rad),flap (rad),weight (lb),engine 0 thrust (lb),engine 1 thrust (lb)
2.9,40000.6409042812884,0.796754129858387894,771.317304622641018,5.39057757143346983,-0.172828807481367613,0.0370231558137735228,0.00203307861151512826,0.00413393093423444248,0.0330753797536399163,0.0950221751138747156,1.57884346323621538,0,-0.0409885759335230707,1.03589926933950501e-05,-1.03589926933950501e-05,0.000759477242106390755,0,9973.59111197417769,488.794427172244752,0
3,40000.7294737100601,0.796575055263727849,771.143947085474338,5.3955794942342763,-0.165233954438393088,0.0381697330587473793,0.00190219353174360698,0.00439591687508803387,0.0368655534288397368,0.0952090036147882901,1.57927803989074889,0,-0.0410192357502034907,1.03601489213167768e-05,-1.03601489213167768e-05,0.000997437751768584773,0,9973.57688643298206,488.73548694457088,0
3.1,40000.8272074349225,0.796395366780318636,770.969995258303356,5.39967856410700531,-0.157793606741877535,0.0392070707718456674,0.00177063211465992268,0.00469286115584680898,0.0407686485386649228,0.0953799781460545615,1.57974058326161737,0,-0.0410455708501397815,1.03613092034442661e-05,-1.03613092034442661e-05,0.00125802979770270676,0,9973.56266261060591,488.676260499472903,0
3.2,40000.9341541007161,0.796215132162857553,770.795514732718289,5.40291205144892928,-0.150715625381717316,0.0401483032065317533,0.00164032481314484971,0.00501680266426987424,0.044774564549380988,0.0955347108871234946,1.58023417977472858,0,-0.041067667876104795,1.0362473101725178e-05,-1.0362473101725178e-05,0.00152918870798326089,0,9973.54844051513646,488.616768598296687,0
3.3,40001.0502990372479,0.796034418442896907,770.620570400251268,5.40532662791409724,-0.14415719156172202,0.041006158501267688,0.00151298675125847016,0.00536029342240609049,0.0488744264719045071,0.0956729927053246165,1.58076113503226723,0,-0.0410856730403116044,1.03636401816790698e-05,-1.03636401816790698e-05,0.00180057132352367307,0,9973.53422015405886,488.557032330656511,0
3.4,40001.1755671985447,0.795853291149670072,770.445225698078048,5.40697654609562406,-0.138228700944746347,0.041792629629555024,0.00139011539324958495,0.0057165836964107198,0.0530605355970718007,0.0957947799841044473,1.58132303606453228,0,-0.0410997825344451978,1.03648100175883123e-05,-1.03648100175883123e-05,0.00206363923773757608,0,9973.52000153423614,488.497072844773356,0
3.5,40001.3098265379667,0.795671813651684823,770.269541971630929,5.40792188825244313,-0.132998667495475786,0.0425187387816388859,0.00127299234131798508,0.00607973952192217889,0.0573262928120594553,0.0959001799879127537,1.58192082904928544,0,-0.0411102331751079103,1.03659821969076328e-05,-1.03659821969076328e-05,0.00231164813739378073,0,9973.50578466192019,488.43691111254293,0
3.6,40001.4528917819262,0.795490046616535551,770.093577951657153,5.40822691699475122,-0.128499229283101674,0.0431943837841915201,0.00116268862293945441,0.00644470346568993754,0.0616661027720212043,0.0959894349375411404,1.58255490610118077,0,-0.041117293465253911,1.03671563239051747e-05,-1.03671563239051747e-05,0.00253956555288601575,0,9973.49156954275713,488.376567728726229,0
3.7,40001.6045284830034,0.795308047584018296,769.917389340962359,5.40795855148995308,-0.124731916700381321,0.043828254799934456,0.00106007284138126025,0.00680730895772558436,0.0660752661348929793,0.0960629050511852128,1.58322519582258825,0,-0.0411212552182228241,1.03683320225640035e-05,-1.03683320225640035e-05,0.00274393667081735369,0,9973.47735618180013,488.316062743647308,0
3.8,40001.7644572295249,0.795125870645836952,769.741028504342125,5.40718498457207275,-0.121673408325359902,0.044427809620699317,0.000965821606974000095,0.00716425784494733372,0.0705498659819856627,0.096121050863601204,1.58393125333631635,0,-0.0411224258506807314,1.03695089387855413e-05,-1.03695089387855413e-05,0.00292271520456381228,0,9973.46314458352208,488.255415528274511,0
